Date,Price,Open,High,Low,Change %
2019-12-31,94.681,93.544,94.808,93.419,0.0123
2019-12-30,93.532,93.32,93.85,93.32,0.0009
2019-12-27,93.445,92.644,93.725,92.457,0.0087
2019-12-26,92.64,92.386,92.797,92.315,0.0027
2019-12-25,92.386,92.272,92.585,92.079,0.0012
2019-12-24,92.275,92.126,92.41,91.981,0.0016
2019-12-23,92.126,92.332,92.785,91.962,-0.003
2019-12-20,92.406,92.606,93.007,92.222,-0.0021
2019-12-19,92.598,92.861,93.339,92.381,-0.0028
2019-12-18,92.854,93.268,93.326,92.671,-0.0044
2019-12-17,93.269,94.53,94.601,93.062,-0.0134
2019-12-16,94.537,94.419,95.261,94.398,0.002
2019-12-13,94.349,92.914,95.412,92.851,0.0156
2019-12-12,92.902,93.355,93.555,92.118,-0.0043
2019-12-11,93.302,93.164,93.449,92.803,0.0016
2019-12-10,93.157,93.332,93.639,93.1,-0.0014
2019-12-09,93.29,93.645,93.803,93.24,-0.0038
2019-12-06,93.644,93.733,93.957,93.376,-0.0011
2019-12-05,93.746,93.695,94.111,93.473,0.0009
2019-12-04,93.659,93.195,93.82,93.111,0.0047
2019-12-03,93.219,92.674,93.382,92.58,0.0058
2019-12-02,92.677,92.697,92.816,92.364,-0.0013
2019-11-29,92.8,92.303,92.901,92.26,0.0051
2019-11-28,92.331,92.065,92.724,92.051,0.0027
2019-11-27,92.082,91.966,92.089,91.559,0.0013
2019-11-26,91.966,92.478,92.55,91.811,-0.0055
2019-11-25,92.476,92.234,92.656,92.014,0.0039
2019-11-22,92.12,92.656,92.903,91.993,-0.0058
2019-11-21,92.662,92.73,93.064,92.513,-0.0007
2019-11-20,92.725,92.825,92.888,92.496,-0.0013
2019-11-19,92.847,93.219,93.323,92.654,-0.0038
2019-11-18,93.198,92.457,93.316,92.428,0.0082
2019-11-15,92.436,92.71,92.746,92.34,-0.0029
2019-11-14,92.703,92.713,92.796,92.231,-0.0002
2019-11-13,92.72,92.236,92.756,92.002,0.0055
2019-11-12,92.214,91.982,92.388,91.748,0.0023
2019-11-11,92.003,91.177,92.284,91.177,0.0094
2019-11-08,91.144,91.044,91.472,91.016,0.0011
2019-11-07,91.043,91.249,91.365,90.727,-0.0027
2019-11-06,91.29,91.201,91.567,91.088,0.0011
2019-11-05,91.194,91.216,91.361,90.984,-0.0001
2019-11-04,91.204,91.591,91.62,91.147,-0.0036
2019-11-01,91.531,91.844,92.15,91.469,-0.0036
2019-10-31,91.862,91.558,92.059,91.418,0.0034
2019-10-30,91.55,91.217,91.592,91.118,0.0037
2019-10-29,91.214,91.013,91.469,90.739,0.0022
2019-10-28,91.01,90.831,91.081,90.704,0.0022
2019-10-25,90.812,91.195,91.325,90.701,-0.0043
2019-10-24,91.204,91.32,91.874,90.712,-0.0017
2019-10-23,91.362,91.15,91.444,90.93,0.0023
2019-10-22,91.156,91.903,92.162,91.072,-0.0083
2019-10-21,91.918,91.885,92.219,91.522,-0.0033
2019-10-18,92.222,91.683,92.306,91.335,0.0058
2019-10-17,91.686,91.57,92.448,90.811,0.0012
2019-10-16,91.573,91.43,91.93,90.55,0.0015
2019-10-15,91.434,89.822,91.524,89.772,0.018
2019-10-14,89.814,89.54,90.061,89.081,0.0012
2019-10-11,89.709,88.317,90.183,88.078,0.0156
2019-10-10,88.329,86.814,88.528,86.73,0.0175
