Date,Price,Open,High,Low,Change %
2019-12-31,0.6567,0.6552,0.658,0.6549,0.0023
2019-12-30,0.6552,0.6524,0.6557,0.6521,0.0043
2019-12-29,0.6524,0.6524,0.6524,0.6524,0.0004
2019-12-27,0.6521,0.6501,0.6535,0.6495,0.0031
2019-12-26,0.6501,0.6519,0.6519,0.6501,-0.0029
2019-12-25,0.6519,0.6517,0.6519,0.6517,0.0005
2019-12-24,0.6517,0.6512,0.6521,0.6503,0.0007
2019-12-23,0.6512,0.6492,0.6521,0.6492,0.003
2019-12-22,0.6492,0.6492,0.6492,0.6492,0.0
2019-12-20,0.6492,0.6507,0.652,0.649,-0.0023
2019-12-19,0.6507,0.6481,0.6515,0.6467,0.0041
2019-12-18,0.6481,0.6486,0.6498,0.6472,-0.0008
2019-12-17,0.6486,0.6472,0.6492,0.6463,0.0021
2019-12-16,0.6472,0.6478,0.6492,0.6463,-0.0009
2019-12-15,0.6478,0.6478,0.6478,0.6478,0.0002
2019-12-13,0.6476,0.645,0.6483,0.6436,0.004
2019-12-12,0.645,0.6514,0.6528,0.6439,-0.0098
2019-12-11,0.6514,0.651,0.6528,0.6505,0.0006
2019-12-10,0.651,0.6537,0.654,0.6505,-0.0041
2019-12-09,0.6537,0.6564,0.6567,0.6534,-0.0042
2019-12-08,0.6564,0.6564,0.6564,0.6564,-0.0002
2019-12-06,0.6566,0.6551,0.6578,0.6542,0.0022
2019-12-05,0.6551,0.6569,0.6585,0.6539,-0.0026
2019-12-04,0.6569,0.6603,0.662,0.6559,-0.0051
2019-12-03,0.6603,0.6571,0.6613,0.6553,0.0049
2019-12-02,0.6571,0.655,0.6576,0.653,0.0032
2019-12-01,0.655,0.655,0.655,0.655,-0.0004
2019-11-29,0.6552,0.6529,0.6564,0.6524,0.0036
2019-11-28,0.6529,0.6516,0.6549,0.6506,0.0019
2019-11-27,0.6516,0.6552,0.6553,0.6502,-0.0054
2019-11-26,0.6552,0.6578,0.6578,0.6551,-0.004
2019-11-25,0.6578,0.6607,0.6607,0.6576,-0.0044
2019-11-24,0.6607,0.6607,0.6607,0.6607,0.0003
2019-11-22,0.6605,0.6608,0.6619,0.6596,-0.0003
2019-11-21,0.6608,0.6614,0.6626,0.66,-0.001
2019-11-20,0.6614,0.6622,0.6633,0.6595,-0.0012
2019-11-19,0.6622,0.662,0.6634,0.6589,0.0003
2019-11-18,0.662,0.6588,0.6628,0.6581,0.0049
2019-11-17,0.6588,0.6588,0.6588,0.6588,0.0
2019-11-15,0.6588,0.6634,0.6635,0.6577,-0.0069
2019-11-14,0.6634,0.6631,0.665,0.6607,0.0004
2019-11-13,0.6631,0.6586,0.664,0.6569,0.0068
2019-11-12,0.6586,0.6563,0.6589,0.6546,0.0036
2019-11-11,0.6563,0.6534,0.6571,0.6534,0.0044
2019-11-10,0.6534,0.6534,0.6534,0.6534,0.0
2019-11-08,0.6534,0.6501,0.6541,0.6494,0.0051
2019-11-07,0.6501,0.6519,0.6544,0.6489,-0.0028
2019-11-06,0.6519,0.6484,0.6524,0.6482,0.0055
2019-11-05,0.6484,0.6512,0.6516,0.6481,-0.0044
2019-11-04,0.6512,0.6541,0.6542,0.651,-0.0044
2019-11-03,0.6541,0.6541,0.6541,0.6541,0.0002
2019-11-01,0.654,0.658,0.6586,0.6533,-0.0061
2019-10-31,0.658,0.6522,0.6583,0.6507,0.0089
2019-10-30,0.6522,0.6511,0.6526,0.6493,0.0017
2019-10-29,0.6511,0.6492,0.6515,0.6485,0.0029
2019-10-28,0.6492,0.6516,0.6539,0.6484,-0.0037
2019-10-27,0.6516,0.6516,0.6516,0.6516,0.0
2019-10-25,0.6516,0.6535,0.6541,0.6507,-0.0028
2019-10-24,0.6535,0.651,0.6546,0.6509,0.0038
