Date,Price,Open,High,Low,Vol.,Change %
2019-12-31,12168.45,12247.1,12247.1,12151.8,426.93M,-0.0071
2019-12-30,12255.85,12274.9,12286.45,12213.8,411.08M,0.0008
2019-12-27,12245.8,12172.9,12258.45,12157.9,383.79M,0.0098
2019-12-26,12126.55,12211.85,12221.55,12118.85,520.33M,-0.0072
2019-12-24,12214.55,12269.25,12283.7,12202.1,470.29M,-0.0039
2019-12-23,12262.75,12235.45,12287.15,12213.25,604.78M,-0.0007
2019-12-20,12271.8,12266.45,12293.9,12252.75,810.68M,0.001
2019-12-19,12259.7,12223.4,12268.35,12191.15,623.05M,0.0031
2019-12-18,12221.65,12197.0,12237.7,12163.45,518.86M,0.0047
2019-12-17,12165.0,12082.45,12182.75,12070.35,499.59M,0.0092
2019-12-16,12053.95,12131.35,12134.65,12046.3,437.70M,-0.0027
2019-12-13,12086.7,12026.4,12098.85,12023.6,597.71M,0.0096
2019-12-12,11971.8,11944.3,12005.5,11934.0,752.62M,0.0052
2019-12-11,11910.15,11867.35,11923.2,11832.3,997.65M,0.0045
2019-12-10,11856.8,11950.5,11953.2,11844.7,650.22M,-0.0068
2019-12-09,11937.5,11939.1,11981.95,11888.05,599.12M,0.0013
2019-12-06,11921.5,12047.35,12057.05,11888.85,609.22M,-0.0081
2019-12-05,12018.4,12071.25,12081.2,11998.75,562.23M,-0.0021
2019-12-04,12043.2,11969.95,12054.7,11935.3,747.19M,0.0041
2019-12-03,11994.2,12067.65,12068.6,11956.4,605.79M,-0.0045
2019-12-02,12048.2,12137.05,12137.15,12023.7,720.95M,-0.0007
2019-11-29,12056.05,12146.2,12147.4,12017.4,804.43M,-0.0078
2019-11-28,12151.15,12132.1,12158.8,12099.95,620.48M,0.0042
2019-11-27,12100.7,12068.5,12114.9,12055.15,584.23M,0.0052
2019-11-26,12037.7,12110.2,12132.45,12006.35,1.20B,-0.003
2019-11-25,12073.75,11922.45,12084.5,11919.75,534.29M,0.0134
2019-11-22,11914.4,11967.3,11968.1,11883.5,486.82M,-0.0045
2019-11-21,11968.4,12025.65,12028.2,11956.9,557.69M,-0.0026
2019-11-20,11999.1,12004.75,12038.6,11966.05,646.66M,0.0049
2019-11-19,11940.1,11919.45,11958.85,11881.75,613.91M,0.0047
2019-11-18,11884.5,11915.15,11946.2,11867.6,514.35M,-0.0009
2019-11-15,11895.45,11904.2,11973.65,11879.25,580.15M,0.002
2019-11-14,11872.1,11858.75,11895.65,11802.65,559.49M,0.0027
2019-11-13,11840.45,11908.3,11946.8,11823.2,659.04M,-0.0061
2019-11-11,11913.45,11879.2,11932.65,11853.95,548.98M,0.0004
2019-11-08,11908.15,11987.15,12034.15,11888.75,789.25M,-0.0086
2019-11-07,12012.05,12021.1,12021.4,11946.85,562.96M,0.0038
2019-11-06,11966.05,11911.5,12002.9,11850.25,603.35M,0.0041
2019-11-05,11917.2,11974.6,11978.95,11861.9,631.95M,-0.002
2019-11-04,11941.3,11928.9,11989.15,11905.35,823.05M,0.0043
2019-11-01,11890.6,11886.6,11918.3,11843.35,855.34M,0.0011
2019-10-31,11877.45,11890.45,11945.0,11855.1,1.41B,0.0028
2019-10-30,11844.1,11883.9,11883.95,11784.45,725.22M,0.0049
2019-10-29,11786.85,11643.95,11809.4,11627.35,951.72M,0.0175
2019-10-25,11583.9,11646.15,11646.9,11490.75,812.03M,0.0001
2019-10-24,11582.6,11661.65,11679.6,11534.65,700.48M,-0.0019
2019-10-23,11604.1,11596.2,11651.6,11554.4,664.16M,0.0014
2019-10-22,11588.35,11657.15,11714.35,11573.65,867.60M,-0.0063
2019-10-18,11661.85,11580.3,11684.7,11553.15,853.44M,0.0065
2019-10-17,11586.35,11466.3,11599.1,11439.65,797.57M,0.0107
2019-10-16,11464.0,11464.95,11481.05,11411.1,533.47M,0.0031
2019-10-15,11428.3,11360.85,11462.35,11342.1,527.40M,0.0077
2019-10-14,11341.15,11335.9,11420.45,11290.05,587.58M,0.0032
2019-10-11,11305.05,11257.7,11362.9,11189.4,737.80M,0.0063
2019-10-10,11234.55,11280.5,11293.35,11208.55,562.02M,-0.007
2019-10-09,11313.3,11152.95,11321.6,11090.15,741.15M,0.0168
2019-10-07,11126.4,11196.2,11233.85,11112.65,733.20M,-0.0043
