Date,Price,Open,High,Low,Change %
2019-12-31,71.355,71.275,71.385,71.225,0.0005
2019-12-30,71.32,71.34,71.427,71.29,-0.0019
2019-12-27,71.455,71.305,71.505,71.185,0.0022
2019-12-26,71.3,71.26,71.353,71.23,0.0003
2019-12-25,71.28,71.28,71.28,71.28,0.0
2019-12-24,71.28,71.21,71.317,71.153,0.0008
2019-12-23,71.22,71.113,71.3,71.11,0.0023
2019-12-20,71.06,71.13,71.256,71.045,-0.0017
2019-12-19,71.18,70.993,71.214,70.88,0.0025
2019-12-18,71.0,71.01,71.125,70.924,-0.0005
2019-12-17,71.035,70.955,71.065,70.832,0.0017
2019-12-16,70.915,70.755,71.05,70.755,0.0017
2019-12-13,70.798,70.553,70.883,70.503,0.0032
2019-12-12,70.57,70.67,70.91,70.531,-0.002
2019-12-11,70.71,70.823,70.942,70.71,-0.0014
2019-12-10,70.81,70.962,71.043,70.808,-0.0023
2019-12-09,70.97,71.3,71.3,70.97,-0.0044
2019-12-06,71.283,71.245,71.446,71.174,0.0004
2019-12-05,71.252,71.505,71.677,71.18,-0.0031
2019-12-04,71.474,71.803,71.823,71.452,-0.0037
2019-12-03,71.74,71.63,71.816,71.532,0.0015
2019-12-02,71.634,71.795,71.825,71.603,-0.0016
2019-11-29,71.749,71.613,71.872,71.603,0.0034
2019-11-28,71.505,71.245,71.665,71.235,0.0034
2019-11-27,71.26,71.45,71.493,71.233,-0.0031
2019-11-26,71.48,71.684,71.69,71.48,-0.0029
2019-11-25,71.689,71.695,71.763,71.61,-0.0014
2019-11-22,71.792,71.756,71.876,71.662,0.0006
2019-11-21,71.75,71.79,71.905,71.717,0.0001
2019-11-20,71.746,71.833,71.916,71.643,-0.0012
2019-11-19,71.83,71.92,72.015,71.605,-0.0016
2019-11-18,71.945,71.665,71.945,71.565,0.0041
2019-11-15,71.65,71.8,71.878,71.594,-0.0044
2019-11-14,71.966,72.082,72.252,71.857,-0.0026
2019-11-13,72.15,71.76,72.15,71.657,0.005
2019-11-12,71.79,71.582,71.79,71.544,0.0031
2019-11-11,71.57,71.37,71.61,71.29,0.0029
2019-11-08,71.36,71.28,71.364,71.165,0.0044
2019-11-07,71.047,71.018,71.118,70.886,0.0005
2019-11-06,71.01,70.769,71.036,70.769,0.0033
2019-11-05,70.775,70.804,70.855,70.625,-0.0002
2019-11-04,70.789,70.552,70.802,70.552,0.0004
2019-11-01,70.76,70.972,70.99,70.76,-0.0031
2019-10-31,70.98,70.762,71.065,70.724,0.0004
2019-10-30,70.953,70.871,71.026,70.84,0.0009
2019-10-29,70.89,70.75,70.92,70.69,0.002
2019-10-28,70.745,70.822,70.842,70.684,-0.0011
2019-10-25,70.82,71.045,71.073,70.782,-0.002
2019-10-24,70.965,70.715,71.085,70.715,0.0034
2019-10-23,70.725,71.005,71.033,70.725,-0.0012
2019-10-22,70.809,70.912,71.007,70.809,-0.0016
2019-10-21,70.925,71.075,71.075,70.778,-0.0023
2019-10-18,71.09,71.2,71.32,71.04,-0.0006
2019-10-17,71.13,71.362,71.475,71.096,-0.0033
2019-10-16,71.364,71.562,71.733,71.348,-0.0019
2019-10-15,71.5,71.248,71.605,71.22,0.0037
2019-10-14,71.237,70.894,71.249,70.74,0.0044
2019-10-11,70.924,70.816,71.091,70.799,-0.0009
2019-10-10,70.99,70.96,71.165,70.96,-0.0018
2019-10-09,71.12,71.18,71.23,70.945,-0.0014
2019-10-08,71.22,70.996,71.233,70.933,0.0035
2019-10-07,70.975,70.959,71.106,70.913,0.0021
2019-10-04,70.825,70.81,71.04,70.765,-0.0029
2019-10-03,71.03,71.21,71.37,70.865,-0.0017
2019-10-02,71.15,71.117,71.368,71.1,0.0006
2019-10-01,71.11,70.655,71.17,70.655,0.0066
2019-09-30,70.645,70.425,70.885,70.358,0.0019
2019-09-27,70.509,70.951,70.98,70.364,-0.0064
2019-09-26,70.964,71.035,71.036,70.837,-0.0003
2019-09-25,70.988,70.976,71.154,70.947,0.0002
2019-09-24,70.971,70.796,71.066,70.736,0.0024
2019-09-23,70.799,71.023,71.053,70.779,-0.0039
2019-09-20,71.075,71.205,71.205,70.685,-0.0042
2019-09-19,71.375,71.345,71.385,71.05,0.0032
2019-09-18,71.145,71.515,71.53,71.145,-0.0048
2019-09-17,71.49,71.827,71.99,71.366,-0.0013
2019-09-16,71.58,71.69,71.69,71.41,0.0084
2019-09-13,70.985,70.972,71.16,70.847,0.0003
2019-09-12,70.967,71.588,71.588,70.917,-0.0085
2019-09-11,71.577,71.877,71.897,71.514,-0.0041
2019-09-10,71.875,71.755,72.002,71.739,0.0014
2019-09-09,71.778,71.728,71.787,71.504,0.0019
2019-09-06,71.645,71.887,71.928,71.605,-0.0039
2019-09-05,71.928,71.986,72.011,71.797,-0.0008
2019-09-04,71.989,72.2,72.315,71.944,-0.0025
2019-09-03,72.17,71.96,72.412,71.96,0.0028
2019-09-02,71.969,71.467,72.003,71.467,0.0072
2019-08-30,71.453,71.772,71.817,71.357,-0.0033
2019-08-29,71.69,71.913,72.1,71.624,-0.0019
2019-08-28,71.829,71.564,71.904,71.492,0.004
2019-08-27,71.543,72.03,72.03,71.383,-0.0067
2019-08-26,72.025,71.92,72.26,71.863,0.0072
2019-08-23,71.513,71.96,72.061,71.513,-0.0058
2019-08-22,71.93,71.6,72.004,71.6,0.0069
2019-08-21,71.439,71.562,71.623,71.353,-0.0015
2019-08-20,71.549,71.523,71.827,71.523,0.0014
2019-08-19,71.451,71.213,71.5,71.063,0.0042
2019-08-16,71.155,71.365,71.492,71.045,-0.0091
2019-08-15,71.81,71.507,71.829,71.309,0.0075
2019-08-14,71.275,70.995,71.365,70.845,-0.002
2019-08-13,71.418,71.132,71.493,71.032,0.0019
2019-08-12,71.283,71.014,71.367,70.993,0.0051
2019-08-09,70.924,70.443,70.924,70.443,0.0072
2019-08-08,70.42,71.17,71.17,70.42,-0.0102
2019-08-07,71.145,70.965,71.195,70.604,0.0015
2019-08-06,71.04,70.81,71.04,70.47,0.0031
2019-08-05,70.821,70.117,70.839,70.117,0.0161
2019-08-02,69.7,69.23,69.7,69.21,0.0099
2019-08-01,69.017,69.267,69.267,69.002,0.0021
2019-07-31,68.875,68.853,68.96,68.761,0.0002
2019-07-30,68.862,68.766,68.903,68.663,0.0016
2019-07-29,68.755,68.9,68.965,68.705,-0.0018
2019-07-26,68.88,69.151,69.151,68.816,-0.0023
2019-07-25,69.041,68.992,69.078,68.885,0.0009
2019-07-24,68.98,69.02,69.109,68.921,-0.0008
2019-07-23,69.033,68.944,69.059,68.903,0.0015
2019-07-22,68.93,68.955,69.07,68.88,0.001
2019-07-19,68.86,68.81,68.955,68.722,0.0001
